,Asset ID,Asset Name,Country,Latitude,Longitude,aez_v9v2_CRUTS32_Hist_8110_100_avg,lgd_ENSEMBLE_rcp4p5_2050s,aez_v9v2_ENSEMBLE_rcp4p5_2050s,tmpCRUTS32_0010,tmp_ENSEMBLE_rcp4p5_2050s,lgd_CRUTS32_Hist_0010,all_2010_prod
5497,619168,Global Branch Key 619168,Italy,45.86084,8.685296,56.0,328.0,56.0,11.800000190734863,13.373998641967773,274.0,315.686767578125
4381,228589,Global Branch Key 228589,Italy,46.13852,11.11426,56.0,267.0,56.0,9.329999923706055,11.288000106811523,240.0,2013.738037109375
184053,851403,Global Branch Key 851403,Poland,52.96951,18.09071,40.0,231.0,40.0,9.09999942779541,11.32800006866455,227.0,1324.5447998046875
77890,845735,Global Branch Key 845735,Italy,44.40768,8.93371,56.0,317.0,56.0,14.489999771118164,16.083999633789062,308.0,
9936,53288079,"Retail - United Kingdom (53.47087785 , -2.294789743)",United Kingdom,53.47087785,-2.294789743,56.0,363.0,56.0,10.34999942779541,11.684000015258789,286.0,
101808,147845,Global Branch Key 147845,Spain,40.30492,-3.460209,56.0,192.0,56.0,15.210000038146973,16.969999313354492,212.0,1879.0439453125
112639,6307353,Fresenius Kabi Anti-Infectives,Italy,45.519854,9.345778,51.0,347.0,51.0,13.639999389648438,15.267999649047852,286.0,6022.052734375
75729,10163275,Goteborg Munkeback,Sweden,57.72481,12.03286,56.0,261.0,56.0,7.769999980926514,10.311999320983887,216.0,14.780760765075684
173391,285168,IDE JORIS,Belgium,51.0872,3.2245333,42.0,336.0,42.0,10.979999542236328,12.367999076843262,281.0,5946.9755859375
30617,766722,Global Branch Key 766722,Italy,45.54256,10.20857,56.0,326.0,56.0,12.619999885559082,14.406000137329102,279.0,2309.4423828125
44936,713654,Global Branch Key 713654,Switzerland,47.36643,8.536242,50.0,309.0,50.0,10.630000114440918,12.366000175476074,261.0,81.59886932373047
130030,846869,Global Branch Key 846869,Spain,40.32595,-3.85236,56.0,199.0,56.0,15.00999927520752,16.773998260498047,215.0,4757.50439453125
81095,51587,Global Branch Key 51587,Spain,37.12572,-4.658049,22.0,180.0,22.0,16.60999870300293,18.654001235961914,220.0,5033.9228515625
183140,5109799,"Retail - United Kingdom (51.4567359 , -0.1948931)",United Kingdom,51.4567359,-0.1948931,56.0,313.0,56.0,10.769999504089355,12.311999320983887,273.0,
7591,127068,Global Branch Key 127068,United Kingdom,52.78631,-0.150274,56.0,312.0,56.0,10.300000190734863,11.64799976348877,280.0,5238.2939453125
204722,297083,innogy SE Fernheizwerk Lohbrügge Nord,Germany,53.51437,10.20937,56.0,282.0,56.0,9.550000190734863,11.52400016784668,247.0,2949.29150390625
150795,3061883,Business Address,Netherlands,52.077808,4.338045,56.0,339.0,56.0,10.760000228881836,12.115999221801758,280.0,397.1147155761719
200132,7907,Global Branch Key 7907,France,49.25582,2.434555,56.0,309.0,56.0,12.079999923706055,13.681999206542969,286.0,1659.1783447265625
197212,238847,Global Branch Key 238847,Netherlands,50.84244,5.727575,56.0,330.0,56.0,11.170000076293945,12.760000228881836,277.0,5041.056640625
128350,153025,Global Branch Key 153025,Greece,37.96257,23.67639,56.0,168.0,56.0,17.93000030517578,19.43400001525879,198.0,
160635,10159071,Boomsesteenweg 800,Belgium,51.1576,4.38221,56.0,331.0,56.0,10.960000038146973,12.539999008178711,279.0,2727.343994140625
69569,46125,"BASF Personal Care and Nutrition GmbH, Standort Illertissen",Germany,48.23617,10.0887,52.0,260.0,52.0,9.4399995803833,11.32800006866455,242.0,3398.340087890625
183279,51133906,"Retail - United Kingdom (51.12446161 , 1.31568482)",United Kingdom,51.12446161,1.31568482,,322.0,,10.869999885559082,12.389999389648438,291.0,2315.321533203125
117961,232392,Global Branch Key 232392,Portugal,38.74944,-9.142564,56.0,211.0,56.0,17.389999389648438,18.9060001373291,237.0,
5237,144327,Global Branch Key 144327,France,42.98803,-0.426455,30.0,224.0,30.0,8.170000076293945,9.711999893188477,222.0,6.447275638580322
34054,10804962,Nowe Jaworzno Grupa TAURON Sp.,Poland,50.21331,19.26375,56.0,244.0,56.0,8.309999465942383,11.181999206542969,226.0,1108.5045166015625
104833,139170,Global Branch Key 139170,France,43.83652,4.362623,56.0,273.0,56.0,14.549999237060547,16.29399871826172,283.0,396.6004943847656
92553,121359,Global Branch Key 121359,France,48.75515,2.21429,56.0,307.0,56.0,12.0,13.639999389648438,268.0,188.55189514160156
54204,51093850,"Retail - United Kingdom (51.2714904 , 0.1929396)",United Kingdom,51.2714904,0.1929396,40.0,311.0,42.0,10.199999809265137,11.772000312805176,267.0,1142.4146728515625
86358,224024,Global Branch Key 224024,Italy,40.79357,15.93886,22.0,256.0,22.0,13.75,15.409998893737793,278.0,2306.4345703125
195996,55342806,"Retail - United Kingdom (54.9876867 , -3.2590151)",United Kingdom,54.9876867,-3.2590151,56.0,358.0,56.0,9.609999656677246,10.865999221801758,273.0,
61878,31975,Global Branch Key 31975,France,44.56077,6.081774,56.0,291.0,56.0,10.199999809265137,11.847999572753906,234.0,3310.25146484375
40190,4865862,Bicycle Therapeutics plc,United Kingdom,52.133139,0.204369,39.0,313.0,41.0,10.550000190734863,11.980000495910645,263.0,4277.5009765625
76706,84001,Global Branch Key 84001,France,48.87583,2.283626,56.0,306.0,56.0,12.550000190734863,14.1899995803833,303.0,
120166,51010435,"Retail - United Kingdom (51.3288795 , -0.4110019)",United Kingdom,51.3288795,-0.4110019,52.0,316.0,52.0,10.460000038146973,12.022000312805176,273.0,1949.478515625
95576,551053,Global Branch Key 551053,Spain,36.67709,-5.444344,22.0,185.0,22.0,16.440000534057617,18.29199981689453,224.0,672.6152954101562
2156,327413,Global Branch Key 327413,France,47.23118,5.996401,56.0,320.0,56.0,11.050000190734863,12.803998947143555,269.0,997.8894653320312
65679,4438380,Business Address,Denmark,55.68238,12.59216,,243.0,,8.800000190734863,11.100000381469727,234.0,
841,53911,Global Branch Key 53911,Spain,40.71447,0.492254,22.0,215.0,22.0,17.68000030517578,19.081998825073242,238.0,3591.4765625
195257,88406,"Tarmac Limited, Ballidon Quarry",United Kingdom,53.0963,-1.70278,42.0,308.0,42.0,8.970000267028809,10.303998947143555,256.0,179.0789337158203
45442,134162,Global Branch Key 134162,United Kingdom,51.74568,-3.37977,56.0,351.0,56.0,9.489999771118164,11.013999938964844,269.0,222.97467041015625
180997,20670,Global Branch Key 20670,Poland,50.17632,19.46811,39.0,238.0,39.0,7.889999866485596,10.789999961853027,222.0,467.111083984375
178152,64625,Global Branch Key 64625,France,49.65432,3.293525,56.0,310.0,56.0,11.539999961853027,13.139999389648438,269.0,2187.5888671875
206135,112329,Global Branch Key 112329,Italy,38.96992,16.32215,56.0,247.0,56.0,18.09000015258789,19.52199935913086,280.0,7134.02587890625
62372,4185960,CSOB Stavebna sporiteina a.s.,Slovakia,48.140931,17.095149,39.0,221.0,33.0,10.829999923706055,12.9739990234375,238.0,299.5843505859375
206055,115306,Global Branch Key 115306,Italy,38.97389,16.31825,56.0,247.0,56.0,18.09000015258789,19.52199935913086,280.0,7134.02587890625
91922,54240394,"Retail - United Kingdom (53.6884548 , -1.6305792)",United Kingdom,53.6884548,-1.6305792,56.0,340.0,56.0,9.6899995803833,10.961999893188477,270.0,932.4329833984375
18472,62999,Uzina Hidro Tileagd,Romania,47.07978,22.2067,39.0,232.0,33.0,10.769999504089355,12.788000106811523,239.0,2435.480712890625
81388,537,"Fountain Ct, Chessington",United Kingdom,51.3687851,-0.2911303,50.0,314.0,50.0,10.619999885559082,12.175999641418457,276.0,517.7701416015625
175792,2972099,Business Address,Spain,40.450274,-3.510569,56.0,207.0,56.0,15.119999885559082,16.873998641967773,217.0,1416.1961669921875
165766,154033,Global Branch Key 154033,Belgium,51.22698,4.523275,56.0,331.0,56.0,10.899999618530273,12.511999130249023,278.0,3766.735107421875
52617,259131,Global Branch Key 259131,France,48.10525,0.025586,40.0,300.0,42.0,11.469999313354492,13.153999328613281,260.0,2589.548583984375
39134,34666,Global Branch Key 34666,Spain,43.18622,-2.46838,56.0,358.0,56.0,13.239999771118164,14.709999084472656,363.0,8.7628755569458
195499,1207445,Bednarka,Poland,49.64306,21.335,40.0,229.0,40.0,7.819999694824219,10.379999160766602,221.0,898.4506225585938
101184,32606,"SRCL Ltd, Larkfield Clinical Waste Facility",United Kingdom,51.3062,0.45269,56.0,311.0,56.0,10.829999923706055,12.379999160766602,283.0,2727.709228515625
120860,125206,Global Branch Key 125206,United Kingdom,51.46274,-0.21639,56.0,313.0,56.0,10.769999504089355,12.311999320983887,273.0,
7837,259845,Global Branch Key 259845,Poland,50.27329,18.99889,56.0,243.0,56.0,8.4399995803833,11.203999519348145,228.0,277.81329345703125
37077,65901,Global Branch Key 65901,United Kingdom,53.16752,-3.142047,42.0,342.0,42.0,9.34999942779541,10.751999855041504,268.0,1320.0982666015625
169210,592476,Global Branch Key 592476,Poland,51.37961,21.18239,56.0,226.0,56.0,8.619999885559082,11.079999923706055,214.0,1937.7242431640625
203813,4114752,Wilmington Tr SP Svcs (London),United Kingdom,51.511713,-0.090938,56.0,312.0,56.0,10.710000038146973,12.243999481201172,272.0,
131299,269704,Global Branch Key 269704,Bulgaria,42.14764,24.74746,56.0,214.0,56.0,13.199999809265137,15.031999588012695,213.0,2224.384765625
76201,52090321,"Retail - United Kingdom (51.55646887 , -0.393839033)",United Kingdom,51.55646887,-0.393839033,56.0,314.0,56.0,10.679999351501465,12.218000411987305,275.0,
176307,98662,ARCELORMITTAL RINGMILL,Belgium,50.6099,5.5202,56.0,321.0,56.0,10.789999961853027,12.381999969482422,271.0,363.41607666015625
17628,96466,Global Branch Key 96466,Belgium,51.03325,2.865586,56.0,339.0,56.0,11.010000228881836,12.431999206542969,286.0,7754.24755859375
176410,13429,SITA UK LTD,United Kingdom,51.224976,-0.489125,40.0,307.0,42.0,9.979999542236328,11.550000190734863,271.0,1050.1461181640625
18384,4516164,Business Address,Spain,42.876019,-2.684312,28.0,298.0,30.0,11.889999389648438,13.4399995803833,245.0,2139.448486328125
97580,10087458,Kortrijksesteenweg 18,Belgium,51.01415,3.64664,42.0,333.0,42.0,11.050000190734863,12.496000289916992,280.0,4155.25927734375
144715,29037,Protos Energy Recovery Facility (Ince Park),United Kingdom,53.28457,-2.80124,52.0,359.0,52.0,10.15999984741211,11.545999526977539,283.0,1672.1702880859375
101084,46834,"Dow Olefinverbund GmbH, Werk Schkopau",Germany,51.40098,11.93401,39.0,249.0,39.0,10.09999942779541,12.170000076293945,240.0,2189.035400390625
115749,4981887,InterCement Portugal S.A.,Portugal,38.721734,-9.150978,56.0,211.0,56.0,17.389999389648438,18.9060001373291,237.0,
116709,15614,UNILIN DIVISIE FLOORING / DECOR,Belgium,50.902893,3.3700037,56.0,326.0,56.0,10.920000076293945,12.359999656677246,279.0,4655.50927734375
191159,282773,Global Branch Key 282773,Spain,41.65466,-4.629178,51.0,205.0,51.0,12.710000038146973,14.420000076293945,164.0,3200.058349609375
85444,104459,BOSTIK SA,France,48.67,2.7,56.0,307.0,56.0,12.34999942779541,13.951998710632324,268.0,2831.889892578125
46446,4265186,Allets Capital Advisors LLP,United Kingdom,51.497513,-0.159267,56.0,313.0,56.0,10.739999771118164,12.277999877929688,272.0,
115450,70197,Global Branch Key 70197,Portugal,32.64934,-16.9763,21.0,196.0,21.0,17.85999870300293,18.631999969482422,228.0,
38449,511110429,"Retail - United Kingdom (50.9082761 , -1.0037774)",United Kingdom,50.9082761,-1.0037774,56.0,315.0,56.0,10.90999984741211,12.379999160766602,341.0,1125.7342529296875
31494,210925,"Severn Trent Water Ltd, Minworth Final Asp Effluent",United Kingdom,52.5252,-1.74867,39.0,345.0,41.0,10.229999542236328,11.618000030517578,279.0,3689.80712890625
137988,4983837,Metsä Board Oyj,Finland,60.17143,24.80588,56.0,203.0,56.0,5.849999904632568,8.63599967956543,188.0,69.39897918701172
166859,10165015,Paris Magenta,France,48.87922,2.35834,56.0,307.0,56.0,12.50999927520752,14.139999389648438,301.0,
12955,92840,Forli,Italy,44.233553,12.088158,51.0,303.0,51.0,14.029999732971191,15.878000259399414,229.0,4728.86767578125
10448,211316,Global Branch Key 211316,Spain,40.33205,-3.864093,56.0,199.0,56.0,15.00999927520752,16.773998260498047,215.0,4757.50439453125
23294,205185,Global Branch Key 205185,Belgium,51.02314,3.706172,56.0,332.0,56.0,11.059999465942383,12.513999938964844,280.0,933.4457397460938
143077,531206,Global Branch Key 531206,Netherlands,52.17636,4.506185,56.0,334.0,56.0,10.65999984741211,12.050000190734863,278.0,3167.685546875
159352,203814,Global Branch Key 203814,Bulgaria,43.20887,27.90874,56.0,200.0,56.0,13.489999771118164,15.116000175476074,200.0,249.621826171875
57350,56546518,"Retail - United Kingdom (55.65448325 , -4.712385241)",United Kingdom,55.65448325,-4.712385241,56.0,365.0,56.0,9.670000076293945,10.82800006866455,285.0,129.9575958251953
137509,610060,Global Branch Key 610060,Switzerland,47.16688,9.476115,56.0,330.0,56.0,10.510000228881836,12.547999382019043,259.0,2801.530029296875
46730,2993920,Business Address,Sweden,59.329323,18.068581,56.0,206.0,56.0,6.96999979019165,9.615999221801758,198.0,
4868,746890,Global Branch Key 746890,France,-20.92791,55.6334,5.0,341.0,5.0,22.479999542236328,23.312000274658203,365.0,7456.853515625
23680,145198,Global Branch Key 145198,Italy,38.90867,16.5891,56.0,242.0,56.0,18.1299991607666,19.597999572753906,279.0,5895.25927734375
138841,13275,Springfield Farm Landfill,United Kingdom,51.5948,-0.65852,39.0,315.0,41.0,10.289999961853027,11.793999671936035,275.0,2481.56494140625
74402,812344,Global Branch Key 812344,France,49.87005,2.24374,42.0,320.0,42.0,11.559999465942383,13.137998580932617,297.0,4089.674560546875
48747,20692,Global Branch Key 20692,Poland,50.09992,18.98702,39.0,247.0,39.0,8.519999504089355,11.251999855041504,229.0,591.3978271484375
34463,10215636,Pontonniersweg 17,Netherlands,50.86085,5.68162,41.0,330.0,41.0,11.170000076293945,12.760000228881836,277.0,5041.056640625
69143,60943,Mouzaki Air Karditsa Wind Farm,Greece,39.4156,21.67913,51.0,239.0,51.0,13.960000038146973,15.633999824523926,196.0,3092.16650390625
41795,138859,Global Branch Key 138859,France,49.829,0.913,56.0,332.0,56.0,11.369999885559082,12.983999252319336,339.0,3276.159912109375
84509,5845448,Mobile Ventures GmbH,Germany,50.130654,8.862718,40.0,276.0,42.0,10.59999942779541,12.40999984741211,261.0,1710.5069580078125
31665,31508,"Sita Uk Limited, Corby Landfill Site",United Kingdom,52.4877,-0.6408,39.0,309.0,41.0,10.019999504089355,11.413999557495117,273.0,3352.1171875
120847,803267,Global Branch Key 803267,Italy,42.43578,13.30122,28.0,215.0,28.0,9.779999732971191,11.552000045776367,205.0,652.6759643554688
132898,52045891,"Retail - United Kingdom (51.721998 , 0.4498961)",United Kingdom,51.721998,0.4498961,50.0,307.0,50.0,10.789999961853027,12.281999588012695,265.0,3582.943115234375
116665,13148,"Smurfitt Kappa SSK Ltd , NECHELLS PAPER MILL",United Kingdom,52.4967,-1.86343,56.0,325.0,56.0,9.899999618530273,11.329999923706055,273.0,
83151,4513,Global Branch Key 4513,Portugal,39.91907,-7.91503,56.0,251.0,56.0,13.819999694824219,15.644000053405762,260.0,187.91062927246094
71447,278834,Global Branch Key 278834,Switzerland,46.81564,7.216253,41.0,258.0,29.0,9.109999656677246,10.755999565124512,240.0,3521.093017578125
157485,10176429,Lejonet 1,Sweden,55.60571,12.99872,56.0,235.0,56.0,8.670000076293945,11.013999938964844,231.0,
129962,127919,Global Branch Key 127919,United Kingdom,52.19318,-2.221198,56.0,335.0,56.0,10.389999389648438,11.843999862670898,282.0,2356.90234375
206711,615333,Global Branch Key 615333,France,-20.88004,55.45001,56.0,341.0,56.0,22.5,23.333999633789062,365.0,1708.9715576171875
122395,51814,Centrale électrique à cogénération au gaz de Luth,France,48.93576,2.2893,56.0,309.0,56.0,12.479999542236328,14.119999885559082,304.0,38.63273239135742
51883,137654,Global Branch Key 137654,Poland,52.16212,20.80358,56.0,228.0,56.0,8.710000038146973,11.184000015258789,209.0,823.6015625
156133,185021,Global Branch Key 185021,Italy,42.56813,12.65236,56.0,283.0,56.0,15.639999389648438,17.46000099182129,286.0,3873.476318359375
72554,10181580,Sainsbury's-Preston,United Kingdom,53.77583,-2.68622,56.0,354.0,56.0,9.800000190734863,11.137999534606934,276.0,68.27529907226562
49161,280129,Global Branch Key 280129,France,47.2116,-1.651181,56.0,278.0,56.0,12.369999885559082,14.045999526977539,311.0,628.62255859375
202089,51194610,"Retail - United Kingdom (51.1494341 , 0.8728798)",United Kingdom,51.1494341,0.8728798,56.0,313.0,56.0,11.010000228881836,12.547999382019043,287.0,2890.059326171875
179350,10205370,Kultaseppä,Finland,60.19698,25.03743,56.0,201.0,56.0,5.869999885559082,8.656000137329102,188.0,5.721671104431152
153761,6396487,Sucampo AG,Switzerland,47.173248,8.517016,56.0,292.0,56.0,9.929999351501465,11.645999908447266,252.0,1853.1868896484375
173314,7437,"YARA SUOMI OY, Siilinjärvi",Finland,63.1279,27.72002,48.0,202.0,42.0,4.0,7.217999935150146,171.0,170.30787658691406
178165,71727,Global Branch Key 71727,France,49.0902,0.59894,56.0,315.0,56.0,11.139999389648438,12.758000373840332,286.0,2243.33203125
35628,149479,Global Branch Key 149479,Spain,42.84911,-2.389243,29.0,323.0,29.0,11.479999542236328,13.0339994430542,250.0,3580.25244140625
192208,2923,TREDI,France,45.85,5.25,51.0,337.0,51.0,12.300000190734863,14.275999069213867,279.0,4837.97998046875
204652,39886,MOL Magyar Olaj- és Gázipari Nyrt.,Hungary,46.97021,20.65047,40.0,194.0,34.0,11.399999618530273,13.491999626159668,215.0,1671.87939453125
183977,101994,Global Branch Key 101994,Poland,51.94289,15.50681,56.0,238.0,56.0,9.569999694824219,11.772000312805176,232.0,167.10272216796875
154291,10100264,Quality Hotel-Winn,Sweden,57.73053,11.98021,56.0,264.0,56.0,7.989999771118164,10.482000350952148,219.0,
80263,113925,Global Branch Key 113925,Italy,45.64638,12.16973,51.0,327.0,51.0,13.0,14.823999404907227,278.0,5967.00341796875
149787,119224,Global Branch Key 119224,Italy,44.68508,10.624,56.0,282.0,56.0,13.65999984741211,15.491999626159668,213.0,5831.73291015625
110932,52244544,"Retail - United Kingdom (52.28527451 , -1.612285018)",United Kingdom,52.28527451,-1.612285018,39.0,333.0,41.0,10.219999313354492,11.644000053405762,278.0,4069.7666015625
94312,45832,Parque Eólico Los Cantales,Spain,41.69669,-1.35233,28.0,170.0,20.0,14.429999351501465,16.011999130249023,213.0,1242.15234375
107928,56490399,"Retail - United Kingdom (55.94435075 , -4.030890001)",United Kingdom,55.94435075,-4.030890001,56.0,315.0,56.0,8.9399995803833,10.107999801635742,258.0,287.303466796875
1392,262527,Global Branch Key 262527,Germany,49.40616,8.684894,56.0,274.0,56.0,10.489999771118164,12.275999069213867,258.0,1327.9300537109375
160166,7315084,Waterlink (UK) Holdings Ltd.,United Kingdom,52.366945,-2.718883,41.0,338.0,41.0,9.859999656677246,11.323999404907227,274.0,2382.656982421875
143908,266081,Global Branch Key 266081,France,48.38863,-4.488462,56.0,322.0,56.0,11.789999961853027,13.061999320983887,365.0,
52094,48876,Global Branch Key 48876,Spain,41.19598,1.620603,56.0,248.0,56.0,16.799999237060547,18.263999938964844,251.0,650.1580810546875
29445,191823,Global Branch Key 191823,Greece,37.99461,23.34181,56.0,168.0,56.0,18.559999465942383,19.944000244140625,197.0,
59075,591247,Global Branch Key 591247,Poland,53.69532,19.9622,56.0,232.0,56.0,8.449999809265137,10.899999618530273,224.0,777.1915893554688
202178,54145378,"Retail - United Kingdom (53.5243745 , -1.1354586)",United Kingdom,53.5243745,-1.1354586,56.0,336.0,56.0,10.069999694824219,11.329999923706055,277.0,2487.989501953125
65701,3017510,Business Address,Italy,45.510132,9.171061,56.0,347.0,56.0,13.679999351501465,15.2839994430542,289.0,677.9480590820312
84520,6331966,KnowledgePool Group,United Kingdom,51.459894,-0.967969,56.0,317.0,56.0,10.59000015258789,12.095999717712402,282.0,1161.479248046875
105235,214512,Global Branch Key 214512,Denmark,55.51164,9.46296,42.0,250.0,42.0,8.639999389648438,10.420000076293945,234.0,1943.87255859375
42742,1871,Global Branch Key 1871,Croatia,44.99228,14.90073,50.0,330.0,50.0,12.639999389648438,14.416000366210938,270.0,
82485,51039987,"Retail - United Kingdom (51.3758876 , -0.2040231)",United Kingdom,51.3758876,-0.2040231,56.0,314.0,56.0,10.59000015258789,12.149999618530273,275.0,
167587,54390565,"Retail - United Kingdom (53.75551331 , -2.706054628)",United Kingdom,53.75551331,-2.706054628,41.0,354.0,41.0,9.800000190734863,11.137999534606934,276.0,68.27529907226562
207320,53484,Impianto Idroelettrico Pizzone,Italy,41.6733,14.03452,50.0,286.0,50.0,12.529999732971191,14.32800006866455,219.0,255.75592041015625
199495,136436,Global Branch Key 136436,United Kingdom,58.59557,-3.5228,41.0,325.0,41.0,8.639999389648438,9.555999755859375,268.0,51.44829177856445
26882,2225,Global Branch Key 2225,Croatia,46.30509,16.33613,56.0,295.0,56.0,12.229999542236328,14.079999923706055,271.0,1494.228515625
